id;name;price;type;efficiency;wattage;modular;color
762;Asus ROG Strix;;ATX;gold;550;Full;Black / Red
763;be quiet! Dark Power 12;;ATX;titanium;1000;Full;Black
764;Silverstone Essential;60.57;ATX;bronze;550;false;Black
765;MSI MPG A750G PCIE5;139.99;ATX;gold;750;Full;Black
766;Corsair RM550x (2021);;ATX;gold;550;Full;Black
767;SeaSonic M12II EVO;;ATX;bronze;520;Full;Black
768;GAMDIAS KRATOS E1;;ATX;plus;600;false;Black
769;ENDORFY Vero L5;;ATX;bronze;700;false;Black
770;Enermax CYBERBRON;;ATX;bronze;500;false;Black / Silver
771;SeaSonic FOCUS Plus 550 Gold;;ATX;gold;550;Full;
772;SeaSonic PRIME;109.99;ATX;gold;750;Full;Black
773;Silverstone VA550-B;;ATX;bronze;550;false;Black
774;Antec NE850G M ATX3.0;152.15;ATX;gold;850;Full;Black
775;Xilence XP400R6;97.89;ATX;;400;false;Black / Red
776;Thermaltake Toughpower Grand RGB;116.99;ATX;gold;650;Full;
777;KOLINK Regulator;129.99;ATX;gold;850;Full;Black
778;Silverstone DA850R-GMA;;ATX;gold;850;Full;Black
779;KOLINK Modular Power;;ATX;bronze;600;Semi;Black
780;Cooler Master XG650 Plus;;ATX;platinum;650;Full;Black
781;Corsair AX860i;;ATX;platinum;860;Full;
782;Apex AL-8250SFX;77.71;SFX;;250;false;
783;Cooler Master V650 Gold V2;;ATX;gold;650;Full;Black
784;Deepcool DQ750M-V3L;;ATX;gold;750;Full;Black
785;Cooler Master V SFX Gold ATX 3.0;;SFX;gold;750;Full;White
786;Apex SL-275TFX;45.95;TFX;;275;false;
787;be quiet! Straight Power 11 650W;;ATX;gold;650;Full;
788;Cougar VTE X2;83.98;ATX;plus;750;false;Black
789;Antec Signature Platinum;177.52;ATX;platinum;1000;Full;Black
790;Silverstone Strider Platinum S;269.99;ATX;platinum;1200;Full;Black
791;Thermalright TB-650;;ATX;bronze;650;Full;Black
792;Cooler Master MWE White V2 230V;;ATX;bronze;550;false;Black / White
793;GameMax GX Pro Rampage;;ATX;platinum;1250;Full;White
794;SeaSonic PRIME Ultra Titanium;395;ATX;titanium;850;Full;
795;EVGA SuperNOVA 450 GM;;SFX;gold;450;Full;Black
796;FSP Group Hydro G Pro;;ATX;gold;750;Full;Black
797;EVGA SuperNOVA 1000 G2;;ATX;gold;1000;Full;
798;Thermaltake TR2;;ATX;;430;false;
799;EVGA SuperNOVA 650 G7;94.99;ATX;gold;650;Full;Black / Blue
800;FSP Group HYPER K PRO;;ATX;plus;700;false;Black / Yellow
801;Corsair HX750;;ATX;platinum;750;Full;Black
802;Antec CSK;;ATX;bronze;550;false;Black / Yellow
803;GAMDIAS KRATOS M1 B;;ATX;bronze;550;false;Black
804;Silverstone DA1000R;;ATX;gold;1000;Full;Black
805;Deepcool PX1300P;289.99;ATX;platinum;1300;Full;Black / Silver
806;Razer Katana Chroma;274.1;ATX;platinum;850;Full;Black
807;SeaSonic G;138.77;ATX;gold;450;Semi;
808;SeaSonic S12II;;ATX;bronze;350;false;
