id;name;price;core_count;core_clock;boost_clock;tdp;graphics;smt;socket
1944;Xeon E5-2680 V2;;10;2.8;3.6;115;;t;test
1947;Ryzen 3 1200 (12nm);;4;3.1;3.4;65;;f;test
1952;Pentium Gold G5420;;2;3.8;;54;UHD Graphics 610;t;test
1957;Xeon E5-2687W;;8;3.1;3.8;150;;t;test
1959;Phenom II X4 955 Black;;4;3.2;;125;;f;test
1962;Xeon E3-1275 V3;;4;3.5;3.9;84;HD Graphics P4600;t;test
1967;Xeon E5-2687W V2;;8;3.4;4;150;;t;test
1971;Core i9-9900T;;8;2.1;4.4;35;UHD Graphics 630;t;test
1974;Xeon E-2288G;;8;3.7;5;95;HD Graphics P630;t;test
1977;3850;;4;1.3;;25;Radeon HD 8280;f;test
1986;Pentium E2160;49;2;1.8;;65;;f;test
1993;Pentium Gold G5400T;79.95;2;3.1;;35;UHD Graphics 610;t;test
1994;Xeon E3-1245 V6;555.48;4;3.7;4.1;73;HD Graphics P630;t;test
1995;Xeon E5-1620 V2;;4;3.7;3.9;130;;t;test
1999;Xeon E5-1650 V4;;6;3.6;4;140;;t;test
2003;Xeon E3-1270 V6;725.37;4;3.8;4.2;72;;t;test
2006;Xeon E-2286G;777.91;6;4;4.9;95;HD Graphics P630;t;test
2007;Core i5-4690S;;4;3.2;3.9;65;HD Graphics 4600;f;test
2008;Xeon E3-1270 V2;;4;3.5;;69;;t;test
2014;Xeon E5-1620;;4;3.6;3.8;130;;t;test
2022;Xeon E3-1245 V3;;4;3.4;3.8;84;HD Graphics P4600;t;test
2026;Core i5-6400T;;4;2.2;2.8;35;HD Graphics 530;f;test
2031;Xeon E3-1241 V3;298;4;3.5;3.9;80;;t;test
2032;Xeon E5-2650L;129.94;8;1.8;2.3;70;;t;test
2034;Xeon E5-2670 V2;;10;2.5;3.3;115;;t;test
2036;Core i3-3245;60;2;3.4;;55;HD Graphics 4000;t;test
2037;Xeon E5-2650L V2;;10;1.7;2.1;70;;t;test
2039;Threadripper 2970WX;;24;3;4.2;250;;t;test
2042;Xeon E5-2609 V4;293.37;8;1.7;;85;;f;test
2044;Pentium E2140;79.95;2;1.6;;65;;f;test
2046;Xeon E3-1275 V5;;4;3.6;4;80;HD Graphics P530;t;test
2047;Xeon E3-1225 V5;265;4;3.3;3.7;80;HD Graphics P530;f;test
2050;Phenom II X4 940 Black;;4;3;;125;;f;test
2051;Xeon E3-1240 V2;345;4;3.4;;69;;t;test
2052;Xeon E3-1240 V3;;4;3.4;3.8;80;;t;test
2056;Pentium G3260;;2;3.3;;53;HD Graphics;f;test
2061;Xeon E3-1245 V2;367.5;4;3.4;;77;HD Graphics P4000;t;test
2068;5150;;4;1.6;;25;Radeon HD 8400;f;test
2070;Xeon E3-1226 V3;;4;3.3;3.7;84;HD Graphics P4600;f;test
2071;Xeon E3-1230 V5;;4;3.4;3.8;80;;t;test
2075;Xeon E3-1220 V5;121.05;4;3;3.5;80;;f;test
2077;Core 2 Quad Q6600;94.97;4;2.4;;100;;f;test
2083;Xeon E5-2660 V2;;10;2.2;3;95;;t;test
2084;Xeon E5-1650;;6;3.2;3.8;130;;t;test
2086;Xeon E5-2650L V4;;14;1.7;2.5;65;;t;test
2088;Threadripper 2950X;;16;3.5;4.4;180;;t;test
2089;Core i5-9600T;;6;2.3;3.9;35;UHD Graphics 630;f;test
2090;Xeon E-2276G;;6;3.8;4.9;80;HD Graphics P630;t;test
2101;Xeon E3-1220 V2;;4;3.1;;69;;f;test
2103;Xeon E5-2690;;8;2.9;3.8;135;;t;test
2105;Xeon E5-2667 V2;;8;3.3;4;130;;t;test
2106;Xeon E3-1265L V3;398.95;4;2.5;3.7;45;HD Graphics;t;test
2111;Xeon E-2176G;844.02;6;3.7;4.7;80;HD Graphics P630;t;test
2113;Xeon E-2236;441.91;6;3.4;4.8;80;;t;test
2117;Xeon E5-2643 V4;479;6;3.4;3.7;135;;t;test
2118;Xeon E-2278G;;8;3.4;5;80;HD Graphics P630;t;test
2124;Phenom II X4 980 Black;;4;3.7;;125;;f;test
2127;Xeon E3-1271 V3;;4;3.6;4;80;;t;test
2130;Xeon E3-1240 V5;;4;3.5;3.9;80;;t;test
2131;Opteron 6328;499.99;8;3.2;3.8;115;;f;test
2132;Xeon E5-2470V2;229.95;10;2.4;3.2;95;;t;test
2135;Pentium G2140;45;2;3.3;;55;HD Graphics;f;test
2143;Xeon E3-1246 V3;;4;3.5;3.9;84;HD Graphics P4600;t;test
2145;Phenom II X2 B59;;2;3.4;;80;;f;test
2147;Xeon E3-1275 V5;;4;3.6;4;80;HD Graphics P530;t;test
2148;Xeon E3-1230 V6;;4;3.5;3.9;72;;t;test
2151;Core i5-4590T;;4;2;;35;HD Graphics 4000;t;test
2155;Xeon E3-1280 V5;;4;3.7;4;80;;t;test
2164;Xeon E3-1276 V3;;4;3.6;4;84;HD Graphics P4600;t;test
2165;Xeon E5-2690;;8;2.9;3.8;135;;t;test
2169;Core i5-6500T;;4;2.5;3.1;35;HD Graphics 530;f;test
2172;Xeon E5-2420V2;;6;2.2;2.7;80;;t;test
2175;Threadripper 2920X;;12;3.5;4.3;180;;t;test
2177;Xeon E-2136;796;6;3.3;4.5;80;;t;test
2180;Xeon E5-1620 V4;136.62;4;3.5;3.8;140;;t;test
2181;Xeon E3-1285 V6;994.94;4;4.1;4.5;79;HD Graphics 630;t;test
2182;Xeon E-2146G;825;6;3.5;4.5;80;HD Graphics P630;t;test
2184;Core i7-975 Extreme Edition;;4;3.33;;130;;t;test
2190;Xeon E3-1225 V2;247.5;4;3.2;;77;HD Graphics P4000;f;test
2195;Xeon E3-1270 V5;;4;3.6;4;80;;t;test
2196;Xeon E3-1260L V5;;4;2.9;3.9;45;;t;test
2197;Xeon E3-1235L V5;;4;2;3;25;HD Graphics P530;f;test
2198;Xeon E5-2603 V4;449.95;6;1.7;;85;;f;test
2202;Xeon E-2136;;6;3.3;4.5;80;;t;test
2203;Xeon E-2274G;1064;4;4;4.9;83;HD Graphics P630;t;test
2205;Xeon E3-1275 V2;374;4;3.5;;77;HD Graphics P4000;t;test
2206;Xeon E3-1280 V6;562;4;3.9;4.2;72;;t;test
2211;Opteron 6344;349.99;12;2.6;3.2;115;;f;test
2213;Xeon E3-1220 V6;389.95;4;3;3.5;72;;f;test
2214;Xeon E3-1225 V6;355.29;4;3.3;3.7;73;HD Graphics P630;f;test
2215;Xeon E-2174G;655.27;4;3.8;4.7;71;HD Graphics P630;t;test
2218;Pentium E2200;;2;2.2;;65;;f;test
2233;Core i5-3340S;;4;2.8;3.3;65;HD Graphics 2500;f;test
2234;Xeon E5-2620 V2;;6;2.1;2.6;80;;t;test
2242;Xeon E5-2430V2;;6;2.5;3;80;;t;test
2244;Xeon E-2236;;6;3.4;4.8;80;;t;test
2245;Xeon E-2104G;589;4;3.2;;65;HD Graphics P630;f;test
2246;Xeon E-2246G;;6;3.6;4.8;80;HD Graphics P630;t;test
2257;Pentium E2180;;2;2;;65;;f;test
2259;Core i7-965 Extreme Edition;;4;3.2;;130;;t;test
2270;Xeon E5-2637 V2;;4;3.5;3.8;130;;t;test
